,candidate,run,makespan,tardiness,makespan_reward,tardiness_reward
103,|(2) Initialization|model|Orthogonal_model_1,_1_66,4981.239,65883.484375,0.0,0.0
104,|(2) Initialization|model|Orthogonal_model_1,_1_59,4909.7007,32779.6953125,0.026435548439621925,0.014587872837715886
105,|(2) Initialization|model|Orthogonal_model_1,_1_61,4068.2822,50369.421875,0.018056953325867653,0.019357416955403252
106,|(2) Initialization|model|Orthogonal_model_1,_1_95,4232.4854,49553.98828125,0.046634458005428314,0.02159964607886322
107,|(2) Initialization|model|Orthogonal_model_1,_1_57,4236.722,42070.1328125,0.038058049976825714,0.0004665813229644646
108,|(2) Initialization|model|Orthogonal_model_1,_1_68,4351.041,48040.72265625,0.03213663399219513,0.016139290177681592
109,|(2) Initialization|model|Orthogonal_model_1,_1_50,4676.969,55148.203125,0.03689716383814812,0.02520798991150615
110,|(2) Initialization|model|Orthogonal_model_1,_1_33,5104.9785,51867.015625,0.010669402778148651,0.04309835317844837
111,|(2) Initialization|model|Orthogonal_model_1,_1_34,4813.112,26159.501953125,0.02218794822692871,0.020119383898520794
112,|(2) Initialization|model|Orthogonal_model_1,_1_51,4201.926,57563.484375,0.0350346639752388,0.03935597606543386
113,|(2) Initialization|model|Orthogonal_model_1,_1_56,4281.5977,44201.9375,0.041775938123464584,0.0
114,|(2) Initialization|model|Orthogonal_model_1,_1_69,4831.48,47686.203125,0.025369655340909958,0.025020486287452768
115,|(2) Initialization|model|Orthogonal_model_1,_1_94,4618.179,51016.421875,0.03626229241490364,0.033358362045096845
116,|(2) Initialization|model|Orthogonal_model_1,_1_60,5459.814,33244.6953125,0.0006934178527444601,0.021882900398506443
117,|(2) Initialization|model|Orthogonal_model_1,_1_67,4480.016,50307.6953125,0.011929379776120186,0.034126747532322095
118,|(2) Initialization|model|Orthogonal_model_1,_1_93,4444.67,45960.36328125,0.034984041005373,0.01303876019503562
119,|(2) Initialization|model|Orthogonal_model_1,_1_58,4427.331,32840.98828125,0.03869977220892906,0.006799723766052588
120,|(2) Initialization|model|Orthogonal_model_1,_1_5,4674.119,48141.0078125,0.0402807742357254,0.04721141756175606
121,|(2) Initialization|model|Orthogonal_model_1,_1_2,4763.195,70977.8828125,0.02976290136575699,0.026697194144965464
122,|(2) Initialization|model|Orthogonal_model_1,_1_3,4335.568,47602.9921875,0.008407093584537506,0.00608113970704765
123,|(2) Initialization|model|Orthogonal_model_1,_1_4,5198.2036,43678.578125,0.035674747079610825,0.02720254901142497
124,|(2) Initialization|model|Orthogonal_model_1,_1_45,4271.3643,46597.78125,0.036862604320049286,0.0
125,|(2) Initialization|model|Orthogonal_model_1,_1_89,4294.6885,49126.3828125,0.029983194544911385,0.012133551043277159
126,|(2) Initialization|model|Orthogonal_model_1,_1_42,4455.7896,50814.97265625,0.06491159647703171,0.033660709710222864
127,|(2) Initialization|model|Orthogonal_model_1,_1_80,4592.854,54423.234375,0.04950093850493431,0.0
128,|(2) Initialization|model|Orthogonal_model_1,_1_74,4856.2246,50515.5,0.03446567431092262,0.006320996757164098
129,|(2) Initialization|model|Orthogonal_model_1,_1_73,5085.3647,37869.453125,0.021861720830202103,0.03522035846913668
130,|(2) Initialization|model|Orthogonal_model_1,_1_87,4398.3047,64526.8984375,0.02125626616179943,0.019335312197164303
131,|(2) Initialization|model|Orthogonal_model_1,_1_27,4768.1265,48631.5078125,0.0059364186599850655,0.00320399499054853
132,|(2) Initialization|model|Orthogonal_model_1,_1_18,4383.1245,44954.515625,0.04175618290901184,0.023426845658758896
133,|(2) Initialization|model|Orthogonal_model_1,_1_20,4334.3877,34494.1953125,0.03851928189396858,0.015344929970450203
134,|(2) Initialization|model|Orthogonal_model_1,_1_16,4687.2427,43740.421875,0.040380608290433884,0.010698988080934198
135,|(2) Initialization|model|Orthogonal_model_1,_1_29,4219.8477,51991.30859375,0.030819350853562355,0.031370822523270774
136,|(2) Initialization|model|Orthogonal_model_1,_1_11,4625.2646,33934.77734375,0.026558812707662582,0.03953091827981041
